city,state,house_type,month,avg_temp_f,humidity,heating_degree_days,cooling_degree_days,avg_energy_kwh,square_feet,num_occupants,energy_rate_per_kwh,monthly_energy_bill
New York,NY,Large House,5,62.4,38.5,77.9,0.0,31112.0,4383,2,0.18,5588.66
Denver,CO,Apartment,1,44.5,37.6,613.7,0.0,24580.0,780,1,0.132,3237.8
Houston,TX,House,10,80.3,48.9,0.0,460.4,43205.9,1721,2,0.12,5202.98
New York,NY,House,3,42.6,52.7,671.1,0.0,143720.3,3208,4,0.18,25856.23
Boston,MA,Apartment,4,55.6,67.2,282.9,0.0,10796.4,718,1,0.21,2271.23
Miami,FL,Condo,4,77.4,85.3,0.0,372.0,15285.5,884,1,0.11,1676.88
New York,NY,Townhouse,1,29.1,53.5,1078.5,0.0,140391.2,2133,2,0.198,27805.06
Atlanta,GA,Apartment,8,73.9,87.1,0.0,265.6,7671.6,661,1,0.156,1209.94
New York,NY,Townhouse,2,32.4,76.1,977.5,0.0,96713.1,1617,2,0.198,19143.56
Houston,TX,Large House,3,68.8,42.6,0.0,114.7,39814.9,4842,4,0.12,4791.15
Seattle,WA,Condo,3,56.7,37.3,248.6,0.0,16984.3,1163,1,0.1,1684.7
New York,NY,Townhouse,9,64.1,39.1,27.7,0.0,5465.1,1998,2,0.18,990.58
New York,NY,Apartment,10,54.1,67.1,326.5,0.0,12856.2,745,1,0.18,2313.61
Atlanta,GA,Apartment,1,41.8,64.9,694.9,0.0,19936.8,559,1,0.143,2834.94
Chicago,IL,Condo,6,76.0,33.8,0.0,330.0,18517.2,1185,2,0.168,3105.05
Atlanta,GA,Townhouse,1,45.8,67.3,576.2,0.0,69392.7,1944,2,0.143,9912.24
Phoenix,AZ,Townhouse,12,60.4,44.1,139.0,0.0,19144.6,2023,2,0.143,2743.71
Boston,MA,House,9,66.8,52.6,0.0,55.5,12176.3,3073,1,0.21,2548.54
Houston,TX,House,1,58.2,47.7,204.5,0.0,45294.6,3102,6,0.132,5966.73
Atlanta,GA,Apartment,2,52.7,55.7,367.8,0.0,22942.9,1186,2,0.143,3277.95
New York,NY,Townhouse,3,43.5,75.6,645.6,0.0,74540.2,1874,2,0.18,13398.3
Atlanta,GA,Condo,9,69.8,33.3,0.0,143.0,6512.6,888,1,0.13,858.53
Atlanta,GA,Apartment,3,47.7,36.8,519.2,0.0,17089.1,635,1,0.13,2223.47
Boston,MA,Apartment,7,80.3,42.3,0.0,459.8,22104.1,1144,2,0.252,5556.28
Boston,MA,Apartment,9,64.7,38.3,8.5,0.0,1222.9,864,1,0.21,257.47
Phoenix,AZ,Large House,6,92.1,35.0,0.0,813.5,192692.1,3848,2,0.156,30046.06
Phoenix,AZ,Condo,1,66.4,44.7,0.0,41.7,2458.7,841,1,0.143,362.52
Houston,TX,Large House,9,83.5,44.6,0.0,554.6,144209.4,4156,6,0.12,17293.42
Phoenix,AZ,House,6,91.5,52.8,0.0,795.4,116224.0,2727,5,0.156,18149.78
Denver,CO,Townhouse,2,48.5,78.1,493.9,0.0,52428.0,1702,3,0.132,6914.2
Los Angeles,CA,Townhouse,4,53.4,35.9,347.6,0.0,46906.5,2141,2,0.22,10334.25
Seattle,WA,Townhouse,3,50.9,41.0,422.1,0.0,50622.1,1917,2,0.1,5073.93
Houston,TX,Townhouse,2,64.9,89.6,3.6,0.0,2588.8,2024,2,0.132,335.54
Houston,TX,House,6,86.1,75.1,0.0,634.2,98414.3,2877,4,0.144,14190.76
Phoenix,AZ,Large House,8,91.9,39.6,0.0,806.6,201121.8,4047,3,0.156,31387.08
Phoenix,AZ,Townhouse,2,64.1,38.3,28.0,0.0,3364.4,1222,2,0.143,477.64
Chicago,IL,Large House,7,79.3,50.0,0.0,430.1,99617.9,3669,4,0.168,16748.54
New York,NY,House,3,45.8,72.7,577.3,0.0,117567.4,3037,4,0.18,21179.92
Miami,FL,Apartment,10,77.6,82.6,0.0,377.2,15283.6,951,1,0.11,1664.11
Atlanta,GA,Apartment,5,68.0,41.2,0.0,90.3,4336.0,947,1,0.13,555.39
Boston,MA,House,9,73.3,72.0,0.0,250.5,46606.7,3255,6,0.21,9767.65
Miami,FL,House,12,67.6,38.2,0.0,77.4,13919.4,2661,4,0.121,1685.04
New York,NY,House,1,29.5,61.8,1065.1,0.0,134686.5,1916,1,0.198,26666.05
Chicago,IL,Condo,4,55.9,85.6,272.0,0.0,20027.2,1255,1,0.14,2794.6
Los Angeles,CA,House,8,69.1,41.8,0.0,123.5,17853.4,2319,4,0.264,4720.15
Denver,CO,House,4,53.7,38.3,339.8,0.0,35063.4,1508,1,0.12,4193.67
New York,NY,Large House,5,61.3,79.0,112.0,0.0,39207.7,4030,3,0.18,7072.18
Houston,TX,Condo,4,77.8,52.9,0.0,382.7,22157.1,1233,2,0.12,2659.24
Denver,CO,Large House,7,77.4,35.1,0.0,372.0,95420.1,4021,6,0.144,13720.84
Miami,FL,Townhouse,10,83.9,82.6,0.0,567.2,60668.4,2139,3,0.11,6654.49
Miami,FL,House,5,78.1,41.3,0.0,394.1,57427.6,2663,1,0.11,6311.82
Los Angeles,CA,Large House,4,61.2,88.1,112.5,0.0,36530.8,3766,1,0.22,8019.86
Miami,FL,Townhouse,7,90.4,84.0,0.0,763.5,49624.4,1312,2,0.132,6566.21
New York,NY,Large House,1,30.3,64.6,1039.9,0.0,273454.9,3443,5,0.198,54153.48
Phoenix,AZ,Townhouse,11,68.8,46.3,0.0,114.6,8228.7,1269,1,0.13,1065.96
Denver,CO,Townhouse,2,51.3,41.5,409.9,0.0,48777.1,1903,1,0.132,6422.7
Denver,CO,Condo,8,72.2,60.3,0.0,215.9,11754.2,1117,2,0.144,1697.58
New York,NY,Apartment,7,77.8,56.8,0.0,384.4,16827.6,1028,2,0.216,3647.38
Denver,CO,Townhouse,1,41.5,57.8,703.6,0.0,56026.6,1293,1,0.132,7379.62
Atlanta,GA,Large House,12,49.0,59.0,479.0,0.0,154671.1,4144,6,0.143,22101.71
Miami,FL,Large House,7,96.8,36.8,0.0,953.3,226654.1,3868,5,0.132,29917.15
Seattle,WA,House,6,68.0,42.0,0.0,90.6,16079.0,2686,5,0.12,1928.54
New York,NY,Townhouse,1,25.1,41.4,1197.8,0.0,112485.2,1540,3,0.198,22273.62
Atlanta,GA,Townhouse,7,77.1,62.7,0.0,361.7,28311.3,1535,2,0.156,4434.64
Houston,TX,Large House,11,67.6,39.6,0.0,78.9,25749.0,4215,5,0.12,3075.56
Boston,MA,House,6,69.7,49.8,0.0,140.0,22193.9,2645,1,0.252,5610.02
Seattle,WA,Large House,8,69.0,82.5,0.0,121.3,36167.7,4238,2,0.12,4326.19
Denver,CO,Townhouse,4,54.8,75.2,306.4,0.0,26550.7,1361,2,0.12,3188.49
Houston,TX,Townhouse,6,91.1,72.6,0.0,783.3,49180.8,1271,2,0.144,7067.06
Denver,CO,Townhouse,5,68.7,30.3,0.0,110.5,10375.5,1636,1,0.12,1257.79
New York,NY,Large House,10,53.3,73.3,352.5,0.0,135697.5,4892,4,0.18,24423.81
Houston,TX,Large House,12,68.5,77.6,0.0,105.0,35772.5,4729,2,0.132,4738.76
Los Angeles,CA,Apartment,9,68.2,71.6,0.0,95.7,3794.3,799,1,0.22,834.9
Seattle,WA,Condo,1,40.6,56.6,731.6,0.0,65949.3,1598,3,0.11,7237.35
Chicago,IL,Townhouse,3,43.8,59.3,637.5,0.0,55129.9,1398,2,0.14,7736.75
Miami,FL,House,12,68.9,35.6,0.0,115.6,20687.5,2856,4,0.121,2520.3
Seattle,WA,Apartment,11,50.1,51.9,447.5,0.0,25552.2,1093,2,0.1,2549.22
Seattle,WA,House,8,69.4,66.6,0.0,132.2,18883.6,2332,3,0.12,2266.99
Houston,TX,Condo,5,77.2,66.9,0.0,364.8,27234.1,1597,2,0.12,3254.55
Phoenix,AZ,Condo,11,68.0,57.5,0.0,88.9,5851.6,1188,2,0.13,768.49
Chicago,IL,Apartment,10,54.4,67.4,316.8,0.0,9605.0,577,1,0.14,1325.55
Phoenix,AZ,House,11,66.5,36.8,0.0,45.0,7014.0,1998,2,0.13,917.44
Los Angeles,CA,Apartment,6,66.4,53.8,0.0,43.2,1524.9,538,1,0.264,388.63
New York,NY,Apartment,9,68.0,63.6,0.0,90.4,2497.2,533,1,0.18,456.28
Boston,MA,Townhouse,10,61.2,42.2,114.4,0.0,13363.1,1666,3,0.21,2806.55
Houston,TX,Townhouse,8,92.0,36.5,0.0,810.0,84399.4,2115,1,0.144,12152.4
Los Angeles,CA,Townhouse,7,79.8,53.2,0.0,445.5,32549.8,1448,2,0.264,8606.42
Chicago,IL,Apartment,4,55.9,79.0,272.2,0.0,8626.6,593,1,0.14,1202.32
Denver,CO,Condo,5,61.6,83.3,100.8,0.0,8024.6,1202,2,0.12,982.49
Boston,MA,Condo,5,68.1,71.4,0.0,93.3,4153.4,802,1,0.21,878.53
New York,NY,Large House,7,74.9,70.0,0.0,295.9,82767.0,4360,1,0.216,17858.37
Los Angeles,CA,Large House,1,42.8,79.4,666.1,0.0,212484.2,4145,3,0.242,51405.76
Houston,TX,Apartment,11,69.2,55.2,0.0,126.1,4233.0,702,1,0.12,496.65
Atlanta,GA,Condo,1,40.6,32.3,732.9,0.0,36722.3,891,1,0.143,5264.12
Atlanta,GA,Condo,2,48.2,73.6,503.7,0.0,39326.0,1366,2,0.143,5616.01
Denver,CO,Apartment,3,50.4,87.1,439.2,0.0,23661.7,1039,1,0.12,2841.16
Atlanta,GA,Condo,10,63.2,43.8,53.5,0.0,5925.3,1499,1,0.13,778.55
Boston,MA,House,7,81.7,53.6,0.0,501.1,45686.7,1681,1,0.252,11518.75
Denver,CO,Apartment,3,52.2,50.9,384.0,0.0,12997.7,640,1,0.12,1570.16
Phoenix,AZ,House,12,67.5,82.3,0.0,74.0,10504.8,2025,4,0.143,1491.0
Los Angeles,CA,Apartment,6,72.7,74.5,0.0,232.3,12081.9,1197,1,0.264,3194.15
Boston,MA,Condo,10,61.8,35.7,96.4,0.0,8012.5,1258,2,0.21,1667.62
Phoenix,AZ,Condo,11,70.7,54.5,0.0,172.3,10607.5,1232,1,0.13,1384.88
Los Angeles,CA,House,8,75.9,35.9,0.0,327.0,43358.4,2374,4,0.264,11442.55
Chicago,IL,Large House,9,68.1,44.2,0.0,92.8,31827.1,4659,2,0.14,4472.04
Miami,FL,Apartment,2,68.8,76.9,0.0,113.7,6390.8,1170,2,0.121,790.26
Chicago,IL,Large House,3,41.3,56.6,710.3,0.0,184571.2,3376,4,0.14,25840.57
Atlanta,GA,Condo,8,69.9,53.7,0.0,145.7,10919.9,1459,2,0.156,1690.26
Denver,CO,Large House,11,54.4,66.6,318.7,0.0,122025.6,4826,6,0.12,14646.3
Houston,TX,Townhouse,10,76.4,50.5,0.0,340.7,30377.3,1748,1,0.12,3643.87
Seattle,WA,Townhouse,10,60.8,31.5,125.9,0.0,18058.1,2056,4,0.1,1822.3
Miami,FL,Large House,1,66.2,85.1,0.0,37.3,12779.8,3649,1,0.121,1538.0
Boston,MA,Apartment,7,79.5,41.3,0.0,435.4,15261.8,837,1,0.252,3858.9
Atlanta,GA,Townhouse,7,75.3,56.5,0.0,310.3,24867.8,1559,1,0.156,3893.04
Phoenix,AZ,Large House,7,95.7,51.7,0.0,921.9,174123.9,3080,1,0.156,27172.07
Chicago,IL,Townhouse,5,66.4,61.4,0.0,41.6,5693.5,1808,3,0.14,810.5
Boston,MA,Townhouse,11,46.3,68.6,562.1,0.0,58235.4,1674,1,0.21,12233.01
New York,NY,Apartment,2,33.3,33.8,949.9,0.0,31638.5,653,1,0.198,6277.85
New York,NY,House,5,67.5,31.4,0.0,76.3,9683.5,1850,3,0.18,1747.07
Chicago,IL,Condo,3,41.1,42.6,717.6,0.0,41671.7,1032,1,0.14,5836.47
Seattle,WA,Condo,1,46.4,31.2,558.3,0.0,25717.9,813,1,0.11,2819.43
Chicago,IL,House,11,41.4,72.1,708.3,0.0,139660.9,2955,4,0.14,19547.07
Boston,MA,Townhouse,1,27.9,76.9,1111.6,0.0,129646.8,1914,2,0.231,29954.08
Phoenix,AZ,Townhouse,7,96.0,70.7,0.0,930.4,99342.8,2168,3,0.156,15487.7
Seattle,WA,Large House,8,72.6,48.2,0.0,228.6,69215.9,4615,2,0.12,8294.66
Miami,FL,Apartment,5,86.0,88.5,0.0,628.9,23207.3,889,1,0.11,2549.56
Denver,CO,Condo,11,54.1,77.2,328.0,0.0,29841.9,1565,2,0.12,3595.27
Miami,FL,Large House,7,95.5,79.9,0.0,916.4,241273.2,4290,2,0.132,31867.21
Phoenix,AZ,Large House,6,83.3,69.8,0.0,548.8,119464.9,3492,2,0.156,18631.13
Boston,MA,Apartment,9,66.4,76.4,0.0,43.1,3065.0,1123,2,0.21,654.52
Atlanta,GA,Large House,4,55.5,44.6,284.5,0.0,98905.3,4345,6,0.13,12854.91
Atlanta,GA,Townhouse,9,65.2,73.4,0.0,7.1,1805.7,1232,2,0.13,246.73
Miami,FL,Apartment,10,79.0,39.9,0.0,420.3,12122.2,679,1,0.11,1315.49
Houston,TX,Townhouse,3,70.7,71.8,0.0,170.1,19751.8,2139,2,0.12,2386.8
Boston,MA,Condo,10,58.3,85.3,199.5,0.0,13553.1,1122,2,0.21,2864.93
New York,NY,Condo,9,68.2,50.1,0.0,96.5,4458.5,829,1,0.18,786.93
New York,NY,Condo,12,28.0,89.5,1108.5,0.0,93813.3,1513,3,0.198,18562.42
Denver,CO,Apartment,5,61.3,33.9,111.9,0.0,4748.1,714,1,0.12,573.63
Houston,TX,Condo,8,87.9,77.8,0.0,686.4,44868.8,1435,2,0.144,6445.13
Chicago,IL,Condo,11,42.7,82.1,667.6,0.0,43739.5,1161,1,0.14,6110.92
Boston,MA,Townhouse,3,45.4,52.8,587.9,0.0,64088.3,1764,2,0.21,13465.27
Los Angeles,CA,Apartment,9,67.2,41.5,0.0,67.0,3178.7,872,1,0.22,693.32
Phoenix,AZ,Townhouse,2,69.8,77.9,0.0,143.0,11769.7,1465,2,0.143,1688.1
Atlanta,GA,Condo,6,70.8,84.1,0.0,173.0,7679.4,896,1,0.156,1211.13
Miami,FL,Condo,12,68.2,55.1,0.0,97.1,6619.7,1264,1,0.121,802.74
Los Angeles,CA,House,8,73.4,53.1,0.0,252.7,27297.8,1909,1,0.264,7192.23
Los Angeles,CA,Townhouse,8,76.2,75.7,0.0,335.7,27320.2,1583,2,0.264,7222.97
Phoenix,AZ,Apartment,3,70.1,61.5,0.0,154.1,6606.9,934,1,0.13,870.24
Boston,MA,House,3,43.2,33.6,653.6,0.0,66905.8,1528,3,0.21,14033.57
Seattle,WA,Condo,1,49.5,56.1,465.1,0.0,27735.1,1040,2,0.11,3033.23
Miami,FL,Apartment,12,68.2,37.5,0.0,95.3,3995.9,837,1,0.121,492.44
Boston,MA,Condo,11,49.5,42.9,464.3,0.0,23995.0,902,1,0.21,5052.06
Denver,CO,Large House,9,68.1,50.6,0.0,92.6,33738.9,4960,1,0.12,4054.97
Chicago,IL,Apartment,3,41.0,52.0,719.8,0.0,32472.5,878,1,0.14,4531.94
Chicago,IL,Condo,2,28.3,51.7,1100.2,0.0,64780.2,1052,2,0.154,9971.29
Chicago,IL,Large House,10,59.2,47.6,174.5,0.0,44774.6,3130,1,0.14,6259.85
Phoenix,AZ,Condo,2,66.5,44.9,0.0,44.1,3944.4,1333,1,0.143,558.94
Los Angeles,CA,Apartment,11,55.6,65.1,280.7,0.0,17421.6,1168,1,0.22,3839.87
Los Angeles,CA,Townhouse,1,46.8,36.9,545.0,0.0,54583.2,1617,1,0.242,13207.85
Chicago,IL,House,6,78.1,42.8,0.0,392.9,67825.9,3156,1,0.168,11379.22
Seattle,WA,Condo,11,56.4,73.9,256.9,0.0,21557.1,1429,1,0.1,2168.51
Chicago,IL,Condo,2,31.0,84.0,1020.9,0.0,80406.2,1407,1,0.154,12380.27
Boston,MA,House,8,75.6,63.9,0.0,317.7,30598.3,1733,1,0.252,7710.25
Boston,MA,Townhouse,6,72.7,41.8,0.0,231.9,25104.4,2070,1,0.252,6319.02
New York,NY,Condo,1,30.4,61.2,1037.3,0.0,54229.1,934,1,0.198,10739.55
New York,NY,Condo,12,36.8,40.2,845.9,0.0,53131.0,1117,2,0.198,10515.94
Seattle,WA,Apartment,4,55.7,66.3,278.3,0.0,17274.3,1164,1,0.1,1715.66
Seattle,WA,House,11,55.3,62.2,292.4,0.0,44772.1,2212,3,0.1,4466.82
Seattle,WA,Large House,9,65.8,44.6,0.0,22.7,8342.0,3197,1,0.1,819.49
Chicago,IL,Apartment,1,25.4,46.8,1186.9,0.0,49390.8,821,1,0.154,7608.01
Chicago,IL,Condo,1,28.4,62.8,1099.4,0.0,55293.4,900,1,0.154,8504.62
New York,NY,Large House,12,35.3,82.9,890.6,0.0,232331.3,3403,6,0.198,46002.52
Seattle,WA,Condo,7,75.4,70.6,0.0,311.2,11936.9,809,1,0.12,1438.37
Boston,MA,Condo,12,32.7,60.6,970.2,0.0,64646.6,1189,1,0.231,14939.3
Seattle,WA,House,3,47.2,37.8,533.1,0.0,56969.5,1594,1,0.1,5705.64
New York,NY,House,1,27.3,46.1,1129.9,0.0,181468.7,2435,1,0.198,35942.57
Denver,CO,Large House,6,68.2,30.4,0.0,95.0,22445.4,3213,2,0.144,3242.73
Atlanta,GA,Apartment,10,60.6,86.1,131.5,0.0,5768.6,771,1,0.13,748.82
Atlanta,GA,House,6,74.2,66.0,0.0,276.8,34357.8,2193,4,0.156,5359.76
Houston,TX,House,8,94.1,71.3,0.0,873.3,140303.7,3003,6,0.144,20203.76
Chicago,IL,House,4,53.0,38.1,359.8,0.0,66243.4,2697,3,0.14,9287.24
Boston,MA,Large House,4,52.7,59.7,368.3,0.0,142101.2,4925,1,0.21,29829.08
Denver,CO,House,12,43.7,38.4,640.2,0.0,89146.8,2086,1,0.132,11784.48
Phoenix,AZ,House,2,67.9,83.1,0.0,86.2,12025.8,2118,3,0.143,1716.66
Houston,TX,Apartment,5,77.7,57.4,0.0,381.5,19362.9,1196,1,0.12,2330.92
Chicago,IL,Apartment,6,74.1,36.8,0.0,273.4,8177.4,690,1,0.168,1375.08
Seattle,WA,Condo,7,70.3,45.0,0.0,158.2,8554.9,1068,2,0.12,1028.14
Atlanta,GA,House,10,66.3,43.0,0.0,38.1,8218.1,2545,4,0.13,1079.53
Houston,TX,Apartment,1,61.9,66.2,94.1,0.0,4443.0,784,1,0.132,582.54
Houston,TX,Apartment,6,90.5,38.7,0.0,764.0,34375.4,1090,1,0.144,4969.57
Atlanta,GA,Apartment,11,53.8,33.5,335.2,0.0,20420.0,1159,1,0.13,2643.52
Los Angeles,CA,Apartment,5,66.4,71.1,0.0,42.8,1501.0,551,1,0.22,313.49
Boston,MA,Condo,3,39.8,37.4,755.8,0.0,56291.3,1325,1,0.21,11804.67
Los Angeles,CA,House,12,48.5,80.9,494.4,0.0,89892.0,2694,4,0.242,21760.96
Denver,CO,Large House,12,47.2,45.1,533.8,0.0,191341.3,4618,6,0.132,25272.83
Atlanta,GA,Large House,8,69.6,39.7,0.0,137.1,41138.9,4278,5,0.156,6401.92
Los Angeles,CA,Apartment,5,66.9,89.3,0.0,57.2,3439.6,1059,2,0.22,766.23
Denver,CO,Large House,9,74.9,83.5,0.0,298.5,83306.4,4357,1,0.12,9979.84
Houston,TX,Townhouse,7,87.9,54.5,0.0,688.4,71101.9,2082,2,0.144,10225.4
Boston,MA,Townhouse,6,76.4,75.2,0.0,343.5,28983.2,1659,1,0.252,7307.64
Atlanta,GA,House,4,53.9,80.4,333.4,0.0,56826.4,2499,1,0.13,7401.55
Atlanta,GA,Large House,10,62.3,86.9,80.9,0.0,23229.4,3109,4,0.13,3004.38
Houston,TX,Apartment,8,95.9,50.9,0.0,927.3,22061.4,578,1,0.144,3184.67
Los Angeles,CA,House,4,54.9,85.3,301.7,0.0,65736.6,3143,6,0.22,14451.74
Boston,MA,Large House,9,69.8,75.3,0.0,143.5,36405.1,3674,3,0.21,7652.65
New York,NY,Condo,8,78.0,75.0,0.0,390.4,26954.9,1488,1,0.216,5833.31
Denver,CO,Condo,6,75.0,79.2,0.0,301.1,21517.7,1511,2,0.144,3102.45
Atlanta,GA,Large House,2,51.5,90.0,404.8,0.0,105106.0,3313,4,0.143,15035.44
Chicago,IL,Townhouse,6,77.1,34.2,0.0,362.6,24282.2,1308,2,0.168,4089.01
Miami,FL,Large House,2,68.4,84.2,0.0,102.9,32589.3,4288,6,0.121,3956.59
Seattle,WA,Condo,2,50.1,54.3,448.0,0.0,38807.8,1520,1,0.11,4276.71
Seattle,WA,Condo,10,60.6,35.9,132.6,0.0,11701.7,1412,2,0.1,1181.07
Phoenix,AZ,Townhouse,4,74.9,76.6,0.0,296.9,19973.3,1296,2,0.13,2576.88
Boston,MA,Large House,7,81.4,76.5,0.0,491.1,125634.1,4067,6,0.252,31665.81
Seattle,WA,Townhouse,6,67.4,46.7,0.0,70.7,9679.8,2103,4,0.12,1164.07
Atlanta,GA,Large House,3,51.6,68.2,401.7,0.0,139269.6,4438,1,0.13,18098.19
Los Angeles,CA,House,7,70.7,42.4,0.0,170.0,25312.9,2540,1,0.264,6681.42
Seattle,WA,House,1,41.2,69.4,713.7,0.0,117880.4,2479,2,0.11,12985.83
Chicago,IL,Townhouse,3,43.5,74.1,646.1,0.0,74337.5,1866,1,0.14,10391.02
Atlanta,GA,Large House,12,46.1,84.7,566.5,0.0,151672.6,3470,1,0.143,21678.57
Miami,FL,Townhouse,1,63.5,48.6,45.4,0.0,4844.7,1296,1,0.121,578.07
Denver,CO,Townhouse,3,47.3,71.6,530.8,0.0,62146.9,1885,3,0.12,7471.1
Miami,FL,Apartment,12,63.4,51.1,48.2,0.0,3860.0,1115,2,0.121,450.69
Denver,CO,House,11,53.2,46.4,355.0,0.0,39666.7,1633,2,0.12,4763.05
Los Angeles,CA,Townhouse,8,75.2,67.2,0.0,306.3,24450.6,1559,1,0.264,6442.66
New York,NY,Townhouse,5,63.0,49.5,60.0,0.0,9503.6,2050,2,0.18,1715.99
New York,NY,Large House,3,43.7,79.3,639.8,0.0,186420.6,3789,1,0.18,33561.43
Miami,FL,House,6,84.8,64.7,0.0,594.4,88726.5,2762,3,0.132,11693.31
Chicago,IL,Condo,8,76.3,69.8,0.0,339.8,19176.6,1191,2,0.168,3225.66
Chicago,IL,Large House,6,74.4,35.6,0.0,281.2,63099.8,3478,2,0.168,10614.16
Denver,CO,Condo,10,65.4,77.6,0.0,10.7,2185.6,1493,1,0.12,254.49
Phoenix,AZ,Condo,5,81.2,40.7,0.0,487.4,18063.8,802,1,0.13,2339.1
Houston,TX,Condo,5,86.5,45.4,0.0,645.7,43746.6,1490,1,0.12,5233.69
Denver,CO,House,7,72.5,32.2,0.0,226.3,43520.4,3348,5,0.144,6279.27
Phoenix,AZ,Condo,5,80.8,67.2,0.0,475.1,23020.0,1055,1,0.13,2985.79
New York,NY,House,5,68.2,31.3,0.0,96.4,11937.5,1918,2,0.18,2135.26
Denver,CO,Large House,10,59.7,89.1,158.4,0.0,49980.8,3764,5,0.12,6002.96
New York,NY,Condo,10,54.8,42.6,305.0,0.0,22078.5,1237,2,0.18,3987.71
Boston,MA,House,6,73.6,78.2,0.0,257.4,23212.2,1591,2,0.252,5829.64
Atlanta,GA,Large House,6,71.5,87.0,0.0,195.1,46210.0,3561,2,0.156,7199.76
Phoenix,AZ,Large House,11,69.8,87.8,0.0,143.2,38317.9,3823,6,0.13,4984.88
Atlanta,GA,Large House,5,63.1,36.4,57.4,0.0,21859.6,3935,1,0.13,2855.96
New York,NY,House,10,60.5,67.3,136.1,0.0,16081.2,1605,1,0.18,2877.84
Houston,TX,Large House,5,86.3,56.9,0.0,639.7,184132.7,4630,6,0.12,22095.15
Miami,FL,House,7,87.0,50.3,0.0,660.0,106127.4,2990,3,0.132,14009.02
New York,NY,Apartment,7,76.6,83.2,0.0,348.2,15009.9,1003,2,0.216,3230.32
Houston,TX,Townhouse,10,80.8,49.7,0.0,472.6,50404.4,2108,4,0.12,6068.21
Phoenix,AZ,Townhouse,1,64.8,54.5,5.5,0.0,2686.4,1861,2,0.143,395.8
Houston,TX,House,6,84.4,72.7,0.0,580.7,66932.8,2136,1,0.144,9654.37
Denver,CO,House,2,52.0,78.1,390.1,0.0,65259.8,2465,2,0.132,8632.66
Chicago,IL,Townhouse,1,28.4,82.3,1098.3,0.0,139541.3,2082,2,0.154,21486.47
Chicago,IL,House,5,66.3,75.6,0.0,38.8,7880.0,2553,1,0.14,1109.08
Atlanta,GA,Condo,12,48.7,41.8,488.6,0.0,33863.3,1216,1,0.143,4831.28
Los Angeles,CA,Apartment,2,48.5,52.6,495.2,0.0,16527.9,644,1,0.242,4018.43
Atlanta,GA,Condo,1,46.4,60.2,557.2,0.0,49909.4,1577,2,0.143,7153.31
Boston,MA,House,6,76.6,32.9,0.0,347.7,49659.5,2573,4,0.252,12507.3
Chicago,IL,Apartment,4,51.5,70.8,403.9,0.0,19608.7,932,1,0.14,2749.03
Seattle,WA,Large House,10,64.4,44.7,18.4,0.0,10548.3,3773,6,0.1,1037.71
Chicago,IL,Condo,4,55.8,35.3,276.1,0.0,19204.8,1179,2,0.14,2698.38
New York,NY,House,4,57.9,48.1,214.2,0.0,48330.0,3216,1,0.18,8697.84
Seattle,WA,Condo,11,52.9,86.6,363.6,0.0,25630.2,1223,1,0.1,2555.55
New York,NY,Large House,10,61.1,66.3,115.6,0.0,48624.9,4846,5,0.18,8743.09
Boston,MA,Townhouse,10,58.5,86.5,195.0,0.0,19030.3,1479,2,0.21,4004.88
Chicago,IL,Large House,6,73.5,57.6,0.0,253.8,78080.9,4737,2,0.168,13130.62
New York,NY,Condo,8,76.2,58.5,0.0,336.0,18888.8,1198,2,0.216,4094.86
New York,NY,House,7,74.8,65.8,0.0,294.2,40481.5,2456,3,0.216,8735.93
Los Angeles,CA,Townhouse,8,75.5,42.5,0.0,315.5,32096.8,1984,1,0.264,8455.9
New York,NY,Apartment,10,60.0,52.4,151.1,0.0,6622.0,784,1,0.18,1192.21
Houston,TX,Townhouse,12,61.4,89.0,106.8,0.0,11119.3,1469,2,0.132,1473.93
Seattle,WA,Townhouse,4,62.1,81.9,85.9,0.0,9519.3,1550,1,0.1,948.4
New York,NY,Apartment,1,23.3,90.0,1251.3,0.0,48686.1,766,1,0.198,9622.65
Houston,TX,Townhouse,10,78.6,55.3,0.0,408.5,40815.4,1971,3,0.12,4905.43
Atlanta,GA,Large House,10,61.0,48.9,120.3,0.0,43853.3,4211,6,0.13,5702.84
Miami,FL,Large House,4,78.9,46.6,0.0,416.3,119241.1,4533,4,0.11,13109.0
Phoenix,AZ,House,8,91.1,75.8,0.0,783.2,99100.3,2370,1,0.156,15459.12
New York,NY,Townhouse,12,33.8,54.0,934.9,0.0,95788.0,1672,3,0.198,18977.3
Seattle,WA,Large House,3,47.2,52.4,535.3,0.0,184657.4,4450,5,0.1,18461.9
Atlanta,GA,Large House,6,72.4,34.1,0.0,222.6,44951.3,3034,5,0.156,7020.46
Houston,TX,Apartment,12,64.0,84.5,31.1,0.0,1781.4,684,1,0.132,227.77
Boston,MA,Condo,10,53.7,39.3,337.6,0.0,26365.6,1347,2,0.21,5530.96
Houston,TX,Apartment,9,82.3,59.1,0.0,519.7,19453.6,897,1,0.12,2324.17
Denver,CO,Large House,2,50.3,60.0,440.0,0.0,120857.1,3518,4,0.132,15951.35
Phoenix,AZ,Condo,1,63.1,46.9,58.3,0.0,4066.5,992,1,0.143,597.39
Chicago,IL,Condo,9,72.4,89.5,0.0,221.5,13845.7,1292,1,0.14,1948.31
Seattle,WA,House,5,63.8,35.7,36.3,0.0,11975.0,3395,4,0.1,1185.64
